"","First","Last","Nickname","Ht.","Wt.","Reach","Stance","W","L","D","Belt"
"2193","Marlon","Sims","","--","170 lbs.","--","",3,4,0,NA
"2203","Tony","Sims","","5' 11""","155 lbs.","70.0""","Southpaw",12,4,0,NA
"22111","Everett","Sims","Sexual Chocolate","6' 5""","260 lbs.","77.0""","Southpaw",4,1,0,NA
"22210","Lodune","Sincaid","","5' 9""","185 lbs.","--","Orthodox",15,9,0,NA
"2233","Rob","Sinclair","","5' 8""","155 lbs.","--","",13,5,0,NA
"2243","Rory","Singer","Outburst","6' 2""","185 lbs.","77.0""","Orthodox",11,9,0,NA
"2253","Elvis","Sinosic","The King of Rock n' Rumble","6' 3""","205 lbs.","77.0""","Orthodox",7,11,2,NA
"2263","Mitchell","Sipe","No Dice","6' 2""","245 lbs.","--","Orthodox",4,1,0,NA
"2273","AJ","Siscoe","Let's Go","5' 7""","135 lbs.","--","",1,2,0,NA
"2283","Yokthai","Sithoar","","5' 7""","143 lbs.","--","",0,1,0,NA
"2293","Jeri","Sitzes","","5' 5""","125 lbs.","--","",3,1,0,NA
"2303","Dennis","Siver","","5' 6""","145 lbs.","70.0""","Orthodox",23,11,0,NA
"23111","Chas","Skelly","The Scrapper","5' 11""","145 lbs.","72.0""","Orthodox",18,3,0,NA
"23210","Matt","Skelton","","6' 3""","265 lbs.","--","Orthodox",0,1,0,NA
"2333","Zach","Skinner","","5' 6""","145 lbs.","--","Orthodox",10,11,0,NA
"2343","Brian","Sleeman","","5' 8""","185 lbs.","--","",9,9,1,NA
"2353","Joe","Slick","","6' 0""","199 lbs.","--","Orthodox",16,5,3,NA
"2363","Ray","Sloan","","6' 1""","205 lbs.","--","",8,1,0,NA
"2373","Kestutis","Smirnovas","","5' 10""","200 lbs.","--","Orthodox",24,8,2,NA
"2383","Maurice","Smith","","6' 2""","221 lbs.","--","Orthodox",12,14,0,NA
"2393","Patrick","Smith","","6' 2""","225 lbs.","--","Orthodox",20,17,0,NA
"2403","Scott","Smith","Hands of Steel","6' 0""","185 lbs.","70.0""","Orthodox",18,11,0,NA
"24111","Eric","Smith","","--","--","--","Southpaw",1,1,0,NA
"24210","Josh","Smith","","6' 0""","155 lbs.","--","Orthodox",9,8,0,NA
"2433","David","Smith","","--","155 lbs.","--","",5,1,0,NA
"2443","Adam","Smith","","--","--","--","",0,3,0,NA
"2453","Dillon","Smith","","6' 0""","170 lbs.","--","",0,0,0,NA
"2463","Trevor","Smith","Hot Sauce","6' 3""","185 lbs.","75.0""","Orthodox",15,10,0,NA
"2472","Anthony","Smith","Lionheart","6' 4""","205 lbs.","76.0""","Orthodox",34,16,0,NA
"2482","Colton","Smith","","6' 0""","155 lbs.","71.0""","Orthodox",7,4,0,NA
"2492","Gilbert","Smith","","5' 9""","185 lbs.","--","Southpaw",12,6,0,NA
"2502","Leslie","Smith","The Peacemaker","5' 9""","135 lbs.","66.0""","Orthodox",10,7,1,NA
"25111","Devonte","Smith","King Kage","5' 9""","155 lbs.","76.0""","Orthodox",11,2,0,NA
"2528","Cole","Smith","The Cole Train","5' 11""","135 lbs.","67.0""","Orthodox",7,2,0,NA
"2532","Nate","Smith","The Savage","5' 6""","125 lbs.","69.0""","Switch",6,1,0,NA
"2542","Walter","Smith-Cotito","","5' 8""","135 lbs.","--","",4,5,0,NA
"2552","Justin","Smitley","","--","145 lbs.","--","",10,7,1,NA
"2562","Dmitrii","Smoliakov","The Lifeguard","6' 2""","253 lbs.","74.0""","Switch",9,3,0,NA
"2572","Louis","Smolka","Da Last Samurai","5' 9""","135 lbs.","68.0""","Orthodox",17,7,0,NA
"2582","Richie","Smullen","","5' 9""","155 lbs.","68.0""","Orthodox",3,1,1,NA
"2592","Devin","Smyth","","5' 10""","170 lbs.","72.0""","Switch",4,2,0,NA
"2602","Denis","Sobolev","","6' 3""","216 lbs.","--","Orthodox",4,7,0,NA
"26110","Peter","Sobotta","","6' 0""","170 lbs.","75.0""","Southpaw",17,7,1,NA
"2624","Renato","Sobral","Babalu","6' 1""","205 lbs.","75.0""","Orthodox",37,11,0,NA
"2632","Rameau Thierry","Sokoudjou","The African Assassin","5' 10""","205 lbs.","78.0""","Orthodox",18,18,0,NA
"2642","Joe","Solecki","","5' 9""","155 lbs.","70.0""","Orthodox",10,2,0,NA
"2652","Chris","Solomon","","5' 11""","155 lbs.","--","",0,0,0,NA
"2662","Joe","Son","","5' 4""","236 lbs.","--","Orthodox",0,4,0,NA
"2672","Paul","Song","","--","185 lbs.","--","",2,2,0,NA
"2682","Song","Kenan","The Assassin","6' 0""","170 lbs.","71.0""","Orthodox",16,5,0,NA
"2692","Song","Yadong","","5' 8""","145 lbs.","67.0""","Orthodox",16,5,1,NA
"2702","Chael","Sonnen","","6' 1""","205 lbs.","73.0""","Southpaw",29,15,1,NA
"27110","Cody","Sons","","5' 9""","205 lbs.","--","",3,7,0,NA
"2722","Jin","Soo Son","","5' 6""","135 lbs.","69.0""","Orthodox",9,4,0,NA
"2732","Emiliano","Sordi","He-Man","6' 2""","205 lbs.","--","Orthodox",16,7,0,NA
"2742","Sean","Soriano","","5' 9""","145 lbs.","--","Orthodox",10,5,0,NA
"2752","Punahele","Soriano","Puna","5' 11""","185 lbs.","72.0""","Southpaw",8,0,0,NA
"2762","Dmitry","Sosnovskiy","Wicked Machine","6' 3""","240 lbs.","77.0""","Orthodox",11,0,0,NA
"2772","Ben","Sosoli","Combat Wombat","6' 0""","265 lbs.","72.0""","Southpaw",7,3,0,NA
"2782","Krzysztof","Soszynski","The Polish Experiment","6' 1""","205 lbs.","77.0""","Open Stance",26,12,1,NA
"2792","George","Sotiropoulos","","5' 10""","155 lbs.","71.0""","Orthodox",14,7,0,NA
"2802","Greg","Soto","","5' 11""","170 lbs.","73.0""","Orthodox",9,4,0,NA
"2819","Alex","Soto","Extremo","5' 8""","135 lbs.","--","Southpaw",8,3,1,NA
"2822","Joe","Soto","One Bad Mofo","5' 6""","135 lbs.","65.0""","Orthodox",18,7,0,NA
"2832","Mario","Soto","Dr. Mario","6' 0""","145 lbs.","--","",7,2,0,NA
"2842","Andre","Soukhamthath","The Asian Sensation","5' 9""","135 lbs.","70.0""","Orthodox",13,8,0,NA
"2852","Bobby","Southworth","","6' 2""","205 lbs.","--","Orthodox",10,6,0,NA
"2862","Jacare","Souza","","6' 1""","185 lbs.","72.0""","Orthodox",26,9,0,NA
"2872","Edimilson","Souza","Kevin","6' 0""","145 lbs.","74.0""","Orthodox",15,5,0,NA
"2882","Livinha","Souza","The Brazilian Gangsta","5' 3""","115 lbs.","63.0""","Orthodox",14,3,0,NA
"2892","Mario","Souza","Coracao Valente","6' 3""","185 lbs.","79.0""","Orthodox",12,1,0,NA
"2902","Charon","Spain","","5' 9""","155 lbs.","--","",14,26,0,NA
"2919","Chris","Spang","The Kiss","6' 2""","170 lbs.","--","Orthodox",6,3,0,NA
"2922","Andreas","Spang","Sweet Swede","6' 1""","185 lbs.","--","",9,3,0,NA
"2932","Ryan","Spann","Superman","6' 5""","205 lbs.","79.0""","Orthodox",18,6,0,NA
"2942","Ron","Sparks","The Monster","6' 5""","265 lbs.","--","",8,3,0,NA
"2952","Tommy","Speer","","5' 10""","170 lbs.","71.0""","Orthodox",21,7,0,NA
"2962","Patrick","Speight","","6' 1""","170 lbs.","--","Orthodox",7,3,0,NA
"2972","Sean","Spencer","Black Magic","5' 10""","170 lbs.","74.0""","Orthodox",12,6,0,NA
"2982","Felicia","Spencer","FeeNom","5' 6""","145 lbs.","68.0""","Orthodox",8,2,0,NA
"2992","Sam","Spengler","The Ram","5' 11""","185 lbs.","--","Orthodox",9,5,0,NA
"3001","Nick","Sperling","","--","135 lbs.","--","",3,4,0,NA
"3019","Mario","Sperry","Zen Machine","6' 2""","205 lbs.","--","Orthodox",13,4,0,NA
"3022","Eric","Spicely","Zebrinha","6' 1""","185 lbs.","73.0""","Orthodox",12,6,0,NA
"3032","Waachiim","Spiritwolf","Native Warrior","5' 8""","170 lbs.","--","",12,13,1,NA
"3042","Daniel","Spitz","","6' 7""","245 lbs.","82.0""","Orthodox",6,3,0,NA
"3052","Serghei","Spivac","Polar Bear","6' 3""","260 lbs.","78.0""","Orthodox",12,2,0,NA
"3062","Daniel","Spohn","Dragon","6' 4""","205 lbs.","79.0""","Southpaw",15,6,0,NA
"3072","Pete","Spratt","The Secret Weapon","5' 9""","170 lbs.","--","Orthodox",25,23,0,NA
"3082","Austin","Springer","","5' 8""","145 lbs.","71.0""","Orthodox",12,4,0,NA
"3092","Georges","St-Pierre","Rush","5' 11""","185 lbs.","76.0""","Orthodox",26,2,0,NA
"3105","Bobby","Stack","","5' 9""","155 lbs.","--","Orthodox",8,3,0,NA
"31110","Andreas","Stahl","Real Steel","5' 11""","170 lbs.","--","Orthodox",10,4,0,NA
"3124","Ron","Stallings","The Choir Boy","6' 2""","170 lbs.","75.0""","Southpaw",14,8,0,NA
"3132","Cody","Stamann","The Spartan","5' 6""","145 lbs.","64.0""","Orthodox",19,3,1,NA
"3142","Cristina","Stanciu","Barbie","5' 3""","115 lbs.","--","Orthodox",5,2,0,NA
"3152","Brian","Stann","All American","6' 1""","205 lbs.","74.0""","Orthodox",12,6,0,NA
"3162","Josh","Stansbury","The Sandman","6' 2""","205 lbs.","74.0""","Orthodox",4,8,0,NA
"3172","Dion","Staring","Soldier","6' 1""","235 lbs.","--","Orthodox",35,14,0,NA
"3182","Lucas","Stark","","--","155 lbs.","--","",1,5,0,NA
"3192","Clifford","Starks","","6' 0""","185 lbs.","78.0""","Orthodox",13,3,0,NA
"3202","Kalib","Starnes","","6' 3""","185 lbs.","74.0""","Orthodox",17,11,1,NA
"32110","Laureano","Staropoli","Pepi","6' 1""","170 lbs.","71.0""","Orthodox",9,3,0,NA
"3222","Damian","Stasiak","Webster","5' 5""","135 lbs.","70.0""","Orthodox",10,6,0,NA
"3232","Adam","Steele","","--","170 lbs.","--","",0,1,0,NA
"3242","Dominique","Steele","Non-Stop Action-Packed","5' 10""","170 lbs.","74.0""","Orthodox",14,9,0,NA
"3252","Ricky","Steele","The Karate Kid","5' 9""","135 lbs.","74.0""","Orthodox",6,0,0,NA
"3262","Eric","Steenberg","","--","155 lbs.","--","",5,1,0,NA
"3272","Steve","Steinbeiss","The Hooligan","6' 3""","185 lbs.","75.0""","Orthodox",9,4,0,NA
"3282","Ray","Steinbeiss","Ipswitch Cobra","5' 11""","170 lbs.","--","Orthodox",14,7,0,NA
"3292","Dmitri","Stepanov","","6' 3""","217 lbs.","--","Orthodox",0,1,0,NA
"3302","Jeremy","Stephens","Lil' Heathen","5' 9""","145 lbs.","71.0""","Orthodox",28,18,0,NA
"3319","Aljamain","Sterling","Funk Master","5' 7""","135 lbs.","71.0""","Orthodox",20,3,0,NA
"3322","Marc","Stevens","","5' 9""","155 lbs.","--","",21,10,0,NA
"3332","Joe","Stevenson","Daddy","5' 7""","145 lbs.","70.0""","Orthodox",33,16,0,NA
"3342","Maia","Stevenson","","5' 4""","115 lbs.","62.0""","Orthodox",6,5,0,NA
"3352","Luke","Stewart","","5' 11""","170 lbs.","--","Orthodox",6,3,0,NA
"3362","Darren","Stewart","The Dentist","6' 0""","185 lbs.","74.0""","Orthodox",12,6,0,NA
"3372","Kyle","Stewart","Gunz Up","6' 0""","170 lbs.","76.0""","Orthodox",11,3,0,NA
"3382","Alex","Stiebling","The Brazilian Killa","6' 2""","205 lbs.","--","Southpaw",19,11,1,NA
"3392","Tyler","Stinson","The Evolution","6' 3""","170 lbs.","--","",30,10,0,NA
"3402","Dan","Stittgen","The Anvil","6' 1""","170 lbs.","--","Orthodox",12,5,0,NA
"3419","Lazar","Stojadinovic","The Bronx Bomber","5' 7""","145 lbs.","68.0""","Southpaw",12,5,0,NA
"3422","Denis","Stojnic","","6' 0""","245 lbs.","--","Orthodox",13,3,0,NA
"3432","Julija","Stoliarenko","","5' 7""","135 lbs.","66.0""","",9,5,1,NA
"3442","Dustin","Stoltzfus","","6' 0""","185 lbs.","75.0""","Orthodox",13,2,0,NA
"3452","Niklas","Stolze","Green Mask","6' 1""","170 lbs.","74.0""","Switch",12,4,0,NA
"3462","Ken","Stone","","5' 8""","135 lbs.","71.0""","Southpaw",11,4,0,NA
"3472","Ryan","Stonitsch","","5' 9""","170 lbs.","--","Southpaw",8,1,0,NA
"3482","George","Stork","","5' 10""","185 lbs.","--","",7,9,0,NA
"3492","Rick","Story","The Horror","5' 9""","170 lbs.","71.0""","Southpaw",19,9,0,NA
"3502","Darko","Stosic","","6' 0""","205 lbs.","76.0""","Orthodox",13,4,0,NA
"3519","Greg","Stott","Ranger","5' 7""","220 lbs.","--","Southpaw",0,1,0,NA
"3522","Curtis","Stout","","6' 1""","185 lbs.","--","Southpaw",11,12,1,NA
"3532","Sam","Stout","Hands of Stone","5' 9""","155 lbs.","70.0""","Orthodox",20,12,1,NA
"3542","Tim","Stout","","5' 11""","185 lbs.","--","",12,10,0,NA
"3552","Gennaro","Strangis","","--","--","--","",0,1,0,NA
"3562","Dave","Strasser","","5' 10""","170 lbs.","--","Orthodox",25,8,0,NA
"3572","Daniel","Straus","","5' 7""","145 lbs.","71.0""","",24,7,0,NA
"3582","Gerald","Strebendt","The Finishing Machine","5' 9""","155 lbs.","--","Orthodox",9,7,0,NA
"3592","Sean","Strickland","Tarzan","6' 1""","185 lbs.","76.0""","Orthodox",22,3,0,NA
"3601","Mark","Striegl","Mugen","5' 8""","135 lbs.","70.0""","Southpaw",18,3,0,NA
"3619","Hans","Stringer","","6' 3""","205 lbs.","--","Orthodox",22,8,3,NA
"3622","Stefan","Struve","Skyscraper","6' 11""","265 lbs.","84.0""","Orthodox",33,13,0,NA
"3632","Josh","Stuart","","5' 9""","160 lbs.","--","",1,4,0,NA
"3642","Mike","Stumpf","","5' 10""","170 lbs.","--","",11,4,0,NA
"3651","Kyle","Sturgeon","","6' 3""","225 lbs.","--","Switch",0,1,0,NA
"3661","Tatiana","Suarez","","5' 5""","115 lbs.","66.0""","Southpaw",9,0,0,NA
"3671","Masanori","Suda","","5' 9""","183 lbs.","--","Orthodox",22,11,3,NA
"3681","Genki","Sudo","Neo-Samurai","5' 9""","155 lbs.","--","Orthodox",15,4,2,NA
"3691","Daisuke","Sugie","Amazon","5' 6""","160 lbs.","--","Orthodox",10,8,1,NA
"3701","Takashi","Sugiura","","5' 11""","225 lbs.","--","Southpaw",1,3,0,NA
"3718","Naho","Sugiyuma","Sugi Rock","5' 1""","105 lbs.","--","",12,5,0,NA
"3721","George","Sullivan","The Silencer","6' 0""","170 lbs.","73.0""","Orthodox",17,7,0,NA
"3731","Amar","Suloev","","5' 9""","183 lbs.","--","Orthodox",24,7,0,NA
"3741","Magomed","Sultanakhmedov","","6' 2""","185 lbs.","--","Southpaw",18,6,0,NA
"3751","Justin","Sumter","","6' 2""","185 lbs.","80.0""","Southpaw",7,3,0,NA
"3761","Aji","Susilo","","5' 10""","155 lbs.","--","",6,4,0,NA
"3771","Jason","Suttie","Nobunaga","6' 0""","210 lbs.","--","Orthodox",0,1,0,NA
"3781","Joel","Sutton","","5' 11""","205 lbs.","--","Orthodox",2,4,1,NA
"3791","Chad","Sutton","","6' 1""","185 lbs.","--","",2,2,0,NA
"3801","Martin","Svensson","","6' 1""","155 lbs.","--","",15,6,0,NA
"3818","Daniel","Swain","","5' 9""","145 lbs.","70.0""","Orthodox",20,10,1,NA
"3821","Cub","Swanson","","5' 8""","145 lbs.","70.0""","Orthodox",27,11,0,NA
"3831","Mike","Swick","Quick","6' 1""","170 lbs.","77.0""","Orthodox",15,6,0,NA
"3841","Floyd","Sword","","6' 0""","185 lbs.","--","Orthodox",12,3,0,NA
"3851","Bentley","Syler","Bolivia","5' 4""","125 lbs.","--","Orthodox",5,1,0,NA
"3861","Kevin","Syler","El Nino Bala","5' 9""","155 lbs.","71.0""","Switch",10,1,0,NA
"3871","Leo","Sylvest","Lethal","5' 11""","205 lbs.","--","Orthodox",10,16,0,NA
"3881","Tony","Sylvester","","6' 1""","225 lbs.","--","Southpaw",11,3,0,NA
"3891","Tim","Sylvia","The Maine-iac","6' 8""","265 lbs.","80.0""","Orthodox",31,10,0,NA
"2130","Osamu","Tachihikari","","6' 5""","300 lbs.","--","Orthodox",0,4,0,NA
"3106","Amber","Tackett","","--","115 lbs.","--","",1,3,0,NA
"4103","Eugenio","Tadeu","","5' 8""","160 lbs.","--","Orthodox",2,3,0,NA
"5102","Justin","Tafa","Bad Man","6' 0""","264 lbs.","74.0""","Southpaw",4,2,0,NA
"6102","Khalid","Taha","The Warrior","5' 5""","135 lbs.","69.0""","Orthodox",13,3,0,NA
"7102","Joe","Taimanglo","The Juggernaut","5' 4""","135 lbs.","--","",23,7,1,NA
"8101","Mairbek","Taisumov","Beckan","5' 9""","155 lbs.","73.0""","Orthodox",27,6,0,NA
"9101","Nobuhiko","Takada","","6' 0""","220 lbs.","--","Southpaw",2,6,2,NA
"10101","Yoshiki","Takahashi","Kazuo","5' 11""","199 lbs.","--","Southpaw",30,27,3,NA
"11100","Yoko","Takahashi","","5' 8""","150 lbs.","--","",15,12,2,NA
"1280","Daiju","Takase","","6' 0""","170 lbs.","--","Southpaw",12,15,2,NA
"1380","Hiroyuki","Takaya","Streetfight Bancho","5' 6""","139 lbs.","--","Orthodox",21,14,2,NA
"1460","Yoshihiro","Takayama","","6' 5""","280 lbs.","--","Orthodox",1,4,0,NA
"1560","Makoto","Takimoto","","5' 7""","205 lbs.","--","Southpaw",6,5,0,NA
"1660","Oleg","Taktarov","The Russian Bear","6' 0""","210 lbs.","--","Orthodox",17,5,2,NA
"1749","Nordine","Taleb","","6' 1""","170 lbs.","74.0""","Orthodox",15,7,0,NA
"1840","Tsuyoshi","Tamakairiki","","6' 0""","220 lbs.","--","Orthodox",0,3,0,NA
"1939","Eli","Tamez","Tomahawk","5' 7""","135 lbs.","--","",10,0,0,NA
"2035","Kiyoshi","Tamura","","5' 11""","185 lbs.","--","Southpaw",32,13,3,NA
"2134","Akitoshi","Tamura","The Ironman","5' 9""","135 lbs.","70.0""","Orthodox",21,18,2,NA
"2230","Issei","Tamura","","5' 5""","135 lbs.","63.0""","Orthodox",10,8,0,NA
"2330","Jason","Tan","","5' 10""","170 lbs.","--","Orthodox",5,3,0,NA
"2430","Akihito","Tanaka","Kinniku Mantaro","--","--","--","Southpaw",2,2,0,NA
"2529","Michinori","Tanaka","","5' 5""","135 lbs.","67.0""","Orthodox",11,3,0,NA
"2625","Evan","Tanner","","6' 0""","185 lbs.","74.0""","Orthodox",32,8,0,NA
"2720","Manny","Tapia","The Mangler","5' 5""","135 lbs.","67.0""","Orthodox",12,14,1,NA
"2820","Gary","Tapusoa","","5' 7""","185 lbs.","--","",8,3,0,NA
"2920","Miesha","Tate","Cupcake","5' 6""","135 lbs.","66.0""","Orthodox",18,7,0,NA
"3020","Deividas","Taurosevicius","","5' 9""","145 lbs.","68.0""","Southpaw",17,5,0,NA
"3125","Thiago","Tavares","","5' 7""","145 lbs.","70.0""","Orthodox",21,7,1,NA
"3223","Jeremy","Tavares","","--","135 lbs.","--","",1,6,0,NA
"3320","Brad","Tavares","","6' 1""","185 lbs.","74.0""","Orthodox",18,7,0,NA
"3420","Paul","Taylor","Relentless","6' 0""","155 lbs.","72.0""","Orthodox",11,6,1,NA
"3520","Jesse","Taylor","JT Money","6' 0""","170 lbs.","73.0""","Orthodox",31,15,0,NA
"3620","Torrance","Taylor","","5' 7""","155 lbs.","--","",13,8,1,NA
"3719","Louis","Taylor","Handgunz","5' 11""","185 lbs.","--","Orthodox",13,4,0,NA
"3819","Anthony","Taylor","Pretty Boy","5' 7""","145 lbs.","--","",1,3,0,NA
"3918","Danielle","Taylor","Dynamite","5' 0""","115 lbs.","60.0""","Orthodox",9,4,0,NA
"4018","J.T","Taylor","The Outlaw","5' 10""","--","--","",7,7,0,NA
"4122","James","Te Huna","","6' 2""","185 lbs.","75.0""","Orthodox",16,9,0,NA
"4220","Shawn","Teed","","6' 5""","265 lbs.","--","Orthodox",5,2,0,NA
"4318","Glover","Teixeira","","6' 2""","205 lbs.","76.0""","Orthodox",32,7,0,NA
"4417","John","Teixeira","Macapa","5' 7""","145 lbs.","--","Orthodox",21,2,2,NA
"4517","Ewerton","Teixeira","","6' 1""","242 lbs.","--","",3,1,0,NA
"4617","Tra","Telligman","Trauma","6' 2""","233 lbs.","--","Orthodox",7,5,1,NA
"4717","Taneisha","Tennant","Triple Threat","5' 7""","145 lbs.","70.0""","Orthodox",5,1,0,NA
"4817","Herman","Terrado","","--","170 lbs.","--","",15,3,1,NA
"4917","Dave","Terrel","The Bionic","5' 8""","170 lbs.","--","Southpaw",7,7,0,NA
"5017","David","Terrell","The Soul Assassin","6' 1""","185 lbs.","--","Southpaw",6,2,0,NA
"5121","James","Terry","Intensity","5' 10""","170 lbs.","--","Orthodox",19,9,0,NA
"5219","Jeff","Terry","","6' 2""","205 lbs.","--","",2,3,0,NA
"5318","David","Teymur","","5' 9""","155 lbs.","73.0""","Southpaw",8,2,0,NA
"5417","Daniel","Teymur","Kid Dynamite","5' 5""","145 lbs.","69.0""","Orthodox",7,4,0,NA
"5517","Motonobu","Tezuka","","5' 7""","135 lbs.","--","Southpaw",28,12,7,NA
"5617","Jason","Thacker","","5' 10""","185 lbs.","--","Orthodox",0,1,0,NA
"5717","Brandon","Thatch","Rukus","6' 2""","170 lbs.","74.0""","Switch",11,5,0,NA
"5817","Elias","Theodorou","The Spartan","6' 1""","185 lbs.","75.0""","Orthodox",16,3,0,NA
"5917","Nik","Theotikos","","--","185 lbs.","--","Orthodox",6,2,0,NA
"6017","Paulo","Thiago","","5' 11""","170 lbs.","74.0""","Orthodox",18,9,0,NA
"6121","Din","Thomas","Dinyero","5' 9""","155 lbs.","--","Orthodox",26,9,0,NA
"6219","Ryan","Thomas","The Tank Engine","6' 0""","170 lbs.","--","Orthodox",20,8,0,NA
"6318","Noah","Thomas","","5' 9""","135 lbs.","--","Orthodox",14,7,0,NA
"6417","Joel","Thomas","The NIce Guy","5' 10""","170 lbs.","--","",5,2,0,NA
"6517","Treston","Thomison","","5' 8""","145 lbs.","--","",10,6,0,NA
"6617","Nick","Thompson","The Goat","6' 1""","170 lbs.","74.0""","Orthodox",38,14,1,NA
"6717","James","Thompson","The Colossus","6' 5""","265 lbs.","--","Orthodox",20,16,0,NA
"6816","Oli","Thompson","","6' 1""","242 lbs.","--","Orthodox",17,10,0,NA
"6916","Stephen","Thompson","Wonderboy","6' 0""","170 lbs.","75.0""","Orthodox",16,4,1,NA
"7016","Josh","Thomson","The Punk","5' 10""","155 lbs.","71.0""","Orthodox",22,9,0,NA
"7120","Simeon","Thoresen","The Grin","6' 1""","170 lbs.","79.0""","Orthodox",17,6,1,NA
"7218","Josh","Thornburg","","6' 0""","170 lbs.","--","",8,8,0,NA
"7317","Gleison","Tibau","","5' 10""","155 lbs.","71.0""","Southpaw",33,14,0,NA
"7416","Chris","Tickle","BadBoy","5' 9""","155 lbs.","--","",9,9,0,NA
"7516","Nolan","Ticman","","5' 6""","125 lbs.","--","Orthodox",4,3,0,NA
"7616","Darren","Till","The Gorilla","6' 0""","185 lbs.","74.0""","Southpaw",18,3,1,NA
"7716","Brett","Tillis","","--","145 lbs.","--","",0,0,0,NA
"7816","Ryan","Tobar","","--","155 lbs.","--","",3,3,0,NA
"7916","Andrew","Todhunter","The Sniper","6' 0""","185 lbs.","--","Switch",8,0,0,NA
"8016","Dusko","Todorovic","Thunder","6' 1""","185 lbs.","74.0""","Orthodox",10,1,0,NA
"8120","Hideo","Tokoro","","5' 7""","135 lbs.","--","Orthodox",34,29,2,NA
"8218","Anatoly","Tokov","","5' 10""","185 lbs.","--","",25,2,0,NA
"8316","Kazuki","Tokudome","","5' 11""","155 lbs.","73.0""","Southpaw",18,7,1,NA
"8415","Tyler","Toner","","5' 8""","145 lbs.","70.0""","Orthodox",15,7,0,NA
"8515","James","Toney","Lights Out","5' 9""","220 lbs.","--","Orthodox",0,1,0,NA
"8615","Masanori","Tonooka","","5' 8""","185 lbs.","--","Orthodox",1,2,0,NA
"8715","Carl","Toomey","","--","--","--","",3,3,0,NA
"8815","Ilia","Topuria","","5' 7""","145 lbs.","69.0""","Orthodox",10,0,0,NA
"8915","Anthony","Torres","The Crush","5' 8""","170 lbs.","--","Orthodox",5,3,0,NA
"9015","Miguel","Torres","","5' 9""","135 lbs.","76.0""","Orthodox",44,9,0,NA
"9120","Ronys","Torres","","5' 7""","155 lbs.","--","Orthodox",35,5,0,NA
"9217","Haven","Torres","","--","125 lbs.","--","",0,0,0,NA
"9316","Tecia","Torres","The Tiny Tornado","5' 1""","115 lbs.","60.0""","Orthodox",12,5,0,NA
"9415","Alex","Torres","Rolo","5' 10""","145 lbs.","--","Orthodox",5,4,0,NA
"9515","Abram","Torres","","5' 10""","170 lbs.","--","",4,3,0,NA
"9615","Jose","Torres","Shorty","5' 4""","125 lbs.","65.0""","Orthodox",8,1,0,NA
"9715","Desmond","Torres","","5' 6""","135 lbs.","69.0""","Orthodox",7,2,0,NA
"9815","Salim","Touahri","Grizzly","5' 10""","170 lbs.","72.0""","Orthodox",10,4,0,NA
"9915","Dequan","Townsend","The Tarantula","6' 3""","205 lbs.","79.0""","Orthodox",21,12,0,NA
"10015","Minoru","Toyonaga","","5' 11""","195 lbs.","--","Southpaw",2,5,0,NA
"10119","Roberto","Traven","Spider","6' 3""","227 lbs.","--","Orthodox",6,4,1,NA
"10216","Bryan","Travers","","--","155 lbs.","--","",15,4,0,NA
"10315","Alexander","Trevino","","--","170 lbs.","--","",7,7,0,NA
"10414","Francisco","Trevino","Sitkayan","5' 9""","155 lbs.","70.0""","Orthodox",13,3,0,NA
"10514","Angelo","Trevino","Baby Monsta","5' 11""","170 lbs.","--","Switch",7,3,0,NA
"10614","Frank","Trigg","Twinkle Toes","5' 9""","170 lbs.","71.0""","Southpaw",21,9,0,NA
"10714","Francisco","Trinaldo","Massaranduba","5' 9""","155 lbs.","70.0""","Southpaw",26,7,0,NA
"10814","Damien","Trites","The Omen","5' 11""","165 lbs.","--","",7,6,0,NA
"10914","Michael","Trizano","The Lone Wolf","5' 11""","155 lbs.","71.0""","Orthodox",9,1,0,NA
"11013","Antonio","Trocoli","Malvado","6' 5""","205 lbs.","82.0""","Orthodox",11,3,0,NA
"11118","Tor","Troeng","The Hammer","6' 2""","185 lbs.","--","Orthodox",16,7,1,NA
"11216","Aaron","Trujillo","","5' 5""","125 lbs.","--","",0,1,0,NA
"11314","Reynaldo","Trujillo","The Truth","5' 9""","155 lbs.","--","",21,19,0,NA
"11413","Abel","Trujillo","Killa","5' 8""","155 lbs.","70.0""","Orthodox",15,8,0,NA
"11513","Arman","Tsarukyan","Ahalkalakets","5' 7""","155 lbs.","72.0""","Orthodox",16,2,0,NA
"11613","Chris","Tuchscherer","The Crowbar","6' 2""","258 lbs.","76.0""","Orthodox",21,4,0,NA
"11712","Jon","Tuck","Super Saiyan","5' 11""","155 lbs.","73.0""","Orthodox",10,5,0,NA
"11812","Gavin","Tucker","Guv'nor","5' 6""","145 lbs.","66.0""","Southpaw",13,1,0,NA
"11912","Jumabieke","Tuerxun","The Wild Wolf","5' 7""","135 lbs.","--","Orthodox",19,4,1,NA
"12012","Tom","Tuggle","The Law","6' 2""","250 lbs.","--","Orthodox",0,3,0,NA
"12117","Blair","Tugman","","6' 0""","135 lbs.","--","",10,6,0,NA
"12215","Tai","Tuivasa","Bam Bam","6' 2""","264 lbs.","75.0""","Southpaw",11,3,0,NA
"12313","Zubaira","Tukhugov","Warrior","5' 8""","145 lbs.","68.0""","Orthodox",19,5,1,NA
"12413","Teila","Tuli","","6' 0""","430 lbs.","--","Orthodox",0,1,0,NA
